time_iso8601,stars_cumulative
2021-10-29 00:00:00+00:00,3
2021-11-01 00:00:00+00:00,4
2021-11-02 00:00:00+00:00,8
2021-11-03 00:00:00+00:00,10
2021-11-05 00:00:00+00:00,11
2021-11-06 00:00:00+00:00,12
2021-11-08 00:00:00+00:00,13
2021-11-09 00:00:00+00:00,15
2021-11-10 00:00:00+00:00,16
2021-11-12 00:00:00+00:00,18
2021-11-19 00:00:00+00:00,19
2021-11-26 00:00:00+00:00,20
2021-11-29 00:00:00+00:00,21
2021-11-30 00:00:00+00:00,22
2021-12-01 00:00:00+00:00,23
2021-12-02 00:00:00+00:00,25
2021-12-08 00:00:00+00:00,26
2021-12-10 00:00:00+00:00,27
2021-12-17 00:00:00+00:00,29
2021-12-20 00:00:00+00:00,30
2022-01-11 00:00:00+00:00,31
2022-01-21 00:00:00+00:00,32
2022-01-25 00:00:00+00:00,33
2022-02-04 00:00:00+00:00,34
2022-02-09 00:00:00+00:00,36
2022-02-21 00:00:00+00:00,37
2022-02-23 00:00:00+00:00,38
2022-03-02 00:00:00+00:00,39
2022-03-07 00:00:00+00:00,40
2022-03-09 00:00:00+00:00,42
2022-03-10 00:00:00+00:00,43
2022-03-15 00:00:00+00:00,44
2022-03-25 00:00:00+00:00,45
2022-03-28 00:00:00+00:00,46
2022-03-29 00:00:00+00:00,47
2022-04-02 00:00:00+00:00,48
2022-04-04 00:00:00+00:00,49
2022-04-20 00:00:00+00:00,50
2022-04-25 00:00:00+00:00,51
2022-04-28 00:00:00+00:00,52
2022-05-09 00:00:00+00:00,53
2022-05-11 00:00:00+00:00,55
2022-05-12 00:00:00+00:00,56
2022-05-23 00:00:00+00:00,57
2022-05-25 00:00:00+00:00,58
2022-05-26 00:00:00+00:00,59
2022-05-27 00:00:00+00:00,61
2022-05-30 00:00:00+00:00,62
2022-06-29 00:00:00+00:00,63
2022-07-14 00:00:00+00:00,64
2022-07-18 00:00:00+00:00,65
2022-07-26 00:00:00+00:00,67
2022-07-27 00:00:00+00:00,72
2022-07-28 00:00:00+00:00,76
2022-07-29 00:00:00+00:00,77
2022-07-30 00:00:00+00:00,78
2022-08-01 00:00:00+00:00,79
2022-08-05 00:00:00+00:00,81
2022-08-06 00:00:00+00:00,82
2022-08-07 00:00:00+00:00,83
2022-08-08 00:00:00+00:00,86
2022-08-12 00:00:00+00:00,87
2022-08-16 00:00:00+00:00,88
2022-08-17 00:00:00+00:00,104
2022-08-18 00:00:00+00:00,108
2022-08-19 00:00:00+00:00,110
2022-08-22 00:00:00+00:00,114
2022-08-25 00:00:00+00:00,115
2022-08-26 00:00:00+00:00,116
2022-08-30 00:00:00+00:00,118
2022-09-03 00:00:00+00:00,119
2022-09-05 00:00:00+00:00,120
2022-09-06 00:00:00+00:00,121
2022-09-08 00:00:00+00:00,122
2022-09-15 00:00:00+00:00,123
2022-09-16 00:00:00+00:00,124
2022-09-21 00:00:00+00:00,125
2022-09-22 00:00:00+00:00,126
2022-09-23 00:00:00+00:00,127
2022-09-28 00:00:00+00:00,128
2022-09-29 00:00:00+00:00,129
2022-10-02 00:00:00+00:00,130
2022-10-05 00:00:00+00:00,131
2022-10-06 00:00:00+00:00,132
2022-10-11 00:00:00+00:00,133
2022-10-18 00:00:00+00:00,134
2022-10-19 00:00:00+00:00,135
2022-10-20 00:00:00+00:00,136
2022-10-21 00:00:00+00:00,137
